"
",,,,,,
,,,,,,
Year,Marketcap,Change,,,,
2017,$50.38 B,36.55%,,,,
2016,$36.89 B,17.57%,,,,
2015,$31.38 B,-34.42%,,,,
2014,$47.85 B,16.65%,,,,
2013,$41.01 B,74.29%,,,,
2012,$23.53 B,16.45%,,,,
2011,$20.21 B,-7.14%,,,,
2010,$21.76 B,-7.42%,,,,
2009,$23.50 B,38.86%,,,,
2008,$16.93 B,-45.64%,,,,
2007,$31.14 B,-11.37%,,,,
2006,$35.14 B,-36.78%,,,,
2005,$55.58 B,6.62%,,,,
2004,$52.13 B,76.13%,,,,
2003,$29.59 B,203.38%,,,,
2002,$9.75 B,-4.44%,,,,
2001,$10.20 B,-39.18%,,,,
2000,$16.78 B,-85.26%,,,,
1999,$113.90 B,391.24%,,,,
1998,$23.18 B,676.85%,,,,
